seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1,val_acc,val_auroc,val_aupr,val_f1,test_categories
46,disease_area,0,7325,1039,1089,0.4637281910009183,0.7988980716253443,0.9167062254170624,0.8901802868087307,0.7574750830564784,0.8565928777670837,0.9537292305868054,0.953867441651155,0.8426610348468849,C09|C12|F03
46,disease_area,1,7416,1029,1008,0.621031746031746,0.8075396825396826,0.9302644564508304,0.9493123650232447,0.8270944741532976,0.7288629737609329,0.8677350686342838,0.865052880478481,0.6193724420190996,C14
46,disease_area,2,6938,1437,1078,0.6567717996289425,0.7773654916512059,0.9215185524507559,0.9576915651230247,0.8042414355628059,0.8455114822546973,0.9506898194962634,0.9494124611220958,0.8279069767441859,C05|C08
46,disease_area,3,7068,1131,1254,0.5382775119617225,0.8141945773524721,0.941692573402418,0.9471495598453066,0.8066390041493776,0.7453580901856764,0.892955896152643,0.8843517211908484,0.6849015317286653,C01|C11|C17
46,disease_area,4,7272,503,1678,0.4934445768772348,0.8122765196662693,0.9349744245524296,0.9368878647015343,0.7745168217609163,0.831013916500994,0.9568627450980393,0.9785123624200756,0.86697965571205,A10|C11|C15|C18|F01
46,disease_area,5,7111,1389,953,0.546694648478489,0.8604407135362014,0.9501937157887254,0.9585780227551697,0.8638689866939612,0.8840892728581713,0.9673006199432593,0.9593391264672941,0.8568888888888889,C17|C19
46,disease_area,6,7075,583,1795,0.4935933147632312,0.7314763231197772,0.8780442378323611,0.8739595695568743,0.6522366522366523,0.8662092624356775,0.9587644249900518,0.974502765953899,0.8846153846153846,C09|C10|C18
46,disease_area,7,7478,1008,967,0.4415718717683557,0.8397104446742503,0.9352502385289271,0.9170236629510325,0.8025477707006371,0.7936507936507936,0.9331540739006072,0.9510578219281944,0.8126126126126126,C07|C09|C12|F01
46,disease_area,8,7498,953,1002,0.5199600798403193,0.687624750499002,0.8400565041639897,0.8477054210946103,0.6032953105196451,0.844700944386149,0.949856046065259,0.955970137568036,0.8483606557377048,C18|F03
46,disease_area,9,7176,1182,1095,0.589041095890411,0.7890410958904109,0.9231180017226529,0.9385134756119382,0.7964757709251101,0.8544839255499154,0.9517928355335533,0.9459054488163035,0.8374291115311909,C14|C16
47,disease_area,0,7358,769,1302,0.5583717357910907,0.837173579109063,0.9403456731056755,0.9487333499673067,0.8417910447761194,0.8803641092327699,0.9655587896838829,0.9625158191796124,0.8685714285714285,C07|C08|C23
47,disease_area,1,7256,523,1650,0.5357575757575758,0.7557575757575757,0.9212885294708363,0.9264030389179266,0.7245386192754614,0.8183556405353728,0.9444426094137077,0.966762745631842,0.8503937007874016,C10|C17
47,disease_area,2,7095,1360,974,0.48254620123203285,0.8275154004106776,0.9430597771023304,0.9345973558963905,0.8004750593824227,0.8602941176470589,0.9535279837109741,0.956291457236093,0.8592592592592593,A10|C01|C16|C23|C25|C26
47,disease_area,3,7167,617,1645,0.4656534954407295,0.8364741641337387,0.9510614661213045,0.9425203927308266,0.8017686072218128,0.8816855753646677,0.9576138974975229,0.9595466480052147,0.8832000000000001,A10|C04|C09|C15|C19|F01
47,disease_area,4,7485,0,1944,0.5792181069958847,0.8251028806584362,0.940978299104952,0.9522040950992697,0.8331697742885181,,,,,C01|C14|C17
47,disease_area,5,7507,871,1051,0.4747859181731684,0.7193149381541389,0.9024425662920044,0.880808049892805,0.6071904127829562,0.8541905855338691,0.9624520343766848,0.9570270276866112,0.8299866131191433,C10|C16
47,disease_area,6,6902,1309,1218,0.5254515599343186,0.8530377668308703,0.9545766652249136,0.9581866837881401,0.8481764206955046,0.8151260504201681,0.9385693215339234,0.9451078962219407,0.818045112781955,C15|C17
47,disease_area,7,6869,1372,1188,0.6346801346801347,0.7592592592592593,0.9227957804153577,0.9496998567838633,0.7786377708978328,0.7448979591836735,0.8862662226775957,0.8990986839173823,0.7068676716917923,C05|C17
47,disease_area,8,7117,1046,1266,0.4826224328593997,0.7503949447077409,0.9195412351170026,0.9040174524125202,0.6742268041237113,0.8307839388145315,0.9396359783498623,0.9204507348791708,0.7870036101083033,C09|C10|C19
47,disease_area,9,7360,915,1154,0.4072790294627383,0.8336221837088388,0.9441209406494961,0.9157403253178008,0.7658536585365855,0.8557377049180328,0.9523475053276378,0.9491713351542387,0.8401937046004841,C01|C12|C25|C26
48,disease_area,0,7432,854,1164,0.6219931271477663,0.8247422680412371,0.9321540683073833,0.9476157445789078,0.8456883509833586,0.8735362997658079,0.9507679488959866,0.9587645066637754,0.8783783783783783,C14|C20|F01
48,disease_area,1,7518,620,1312,0.5182926829268293,0.8780487804878049,0.9586490134028295,0.9604656823826433,0.875583203732504,0.7983870967741935,0.9234488485268924,0.9386199145722085,0.7899159663865548,C07|C15|C17|C25
48,disease_area,2,7288,1207,955,0.5246073298429319,0.8869109947643979,0.9616713709145586,0.9623182446445278,0.8884297520661157,0.7033968516984258,0.8761739990113693,0.8615009732711837,0.6376518218623481,C06|C11
48,disease_area,3,6987,1098,1365,0.5216117216117216,0.8256410256410256,0.9425447803568663,0.9411112195966358,0.8120063191153237,0.8479052823315119,0.9515865479789422,0.9389383426677959,0.8064889918887601,C05|C12
48,disease_area,4,6738,1668,1044,0.4875478927203065,0.7519157088122606,0.8600517782714869,0.8644711702830218,0.6758448060075093,0.8633093525179856,0.95397094779232,0.9531534345876747,0.8490066225165563,C18|C19
48,disease_area,5,7316,865,1269,0.5862884160756501,0.8447596532702916,0.9459293394777265,0.9610064282407487,0.8563092633114514,0.8647398843930636,0.9602660281405491,0.9422395715867828,0.8224582701062215,C17|C23
48,disease_area,6,7478,961,1011,0.4549950544015826,0.8625123639960435,0.9560561824350982,0.9449574604076636,0.8358913813459268,0.7117585848074922,0.8950710325710326,0.8881977843055415,0.6200274348422495,C12|C20|F01
48,disease_area,7,7145,608,1697,0.54449027695934,0.8444313494401886,0.9439231531728298,0.9439568060134038,0.8459743290548425,0.8667763157894737,0.9501261802201626,0.9532328240098193,0.8744186046511628,C07|C14|C15|C25|F01
48,disease_area,8,7160,1107,1183,0.5409974640743872,0.885883347421809,0.9656365101289135,0.9692691043807705,0.8877805486284289,0.7750677506775068,0.9201715868405054,0.9332668599062144,0.7821522309711286,C15|C17
48,disease_area,9,7346,905,1199,0.6380316930775647,0.8557130942452044,0.9484925152856842,0.9662391935834216,0.8794425087108015,0.8629834254143647,0.9589813921710474,0.9396058709045549,0.8171091445427728,C05|C17|C25
49,disease_area,0,7156,1253,1044,0.5996168582375478,0.7835249042145593,0.9356742131250286,0.945369971285567,0.7907407407407409,0.830806065442937,0.9408074022434882,0.9559054278826034,0.8441176470588236,C14
49,disease_area,1,7397,525,1531,0.5564990202482037,0.8079686479425212,0.9479652831075802,0.952180616597835,0.8029490616621984,0.8438095238095238,0.9524347512853261,0.9716623933483323,0.8722741433021807,A10|C07|C11|C14|C16
49,disease_area,2,7169,1266,1018,0.5343811394891945,0.8113948919449901,0.9325476234797717,0.9361303898095772,0.7995824634655532,0.768562401263823,0.937877622035543,0.9584612670568982,0.7798647633358377,C19|C20|C23|C25
